,code,17PriceX,16PriceX
1025,002064,0.8,4.15
1026,002065,5.05,9.89
1027,002066,1.65,5.25
1028,002067,0.82,4.5
1029,002068,1.43,2.92
1030,002069,0.56,2.92
1031,002070,1.16,9.69
1032,002071,1.69,5.7
1033,002074,2.76,4.01
1034,002076,1.11,4.56
1035,002077,1.06,3.62
1036,002078,1.62,5.33
1037,002079,2.97,6.37
1038,002080,1.9,1.92
1039,002081,9.8,17.65
1040,002083,0.72,2.63
1041,002084,0.67,3.87
1042,002085,12.18,99.88
1043,002086,2.55,4.32
1044,002087,1.48,4.95
1045,002088,0.75,2.13
1046,002089,4.09,7.33
1047,002090,2.67,5.4
1048,002091,3.58,4.84
1049,002092,1.17,3.71
1050,002093,1.2,2.96
1051,002094,2.61,9.95
1052,002095,2.3,8.04
1053,002096,1.39,5.47
1054,002097,0.31,1.7
1055,002099,1.72,7.26
1056,002100,2.85,5.54
1057,002101,1.83,4.68
1058,002104,1.68,7.86
1059,002105,1.07,6.42
1060,002106,0.77,4.01
1061,002107,2.15,2.86
1062,002108,9.26,18.83
1063,002109,0.86,1.29
